code=11, name=서울특별시, parentCode=null, parentName=null, gridX=null, gridY=null
code=26, name=부산광역시, parentCode=null, parentName=null, gridX=null, gridY=null
code=27, name=대구광역시, parentCode=null, parentName=null, gridX=null, gridY=null
code=28, name=인천광역시, parentCode=null, parentName=null, gridX=null, gridY=null
code=29, name=광주광역시, parentCode=null, parentName=null, gridX=null, gridY=null
code=30, name=대전광역시, parentCode=null, parentName=null, gridX=null, gridY=null
code=31, name=울산광역시, parentCode=null, parentName=null, gridX=null, gridY=null
code=41, name=경기도, parentCode=null, parentName=null, gridX=null, gridY=null
code=42, name=강원도, parentCode=null, parentName=null, gridX=null, gridY=null
code=43, name=충청북도, parentCode=null, parentName=null, gridX=null, gridY=null
code=44, name=충청남도, parentCode=null, parentName=null, gridX=null, gridY=null
code=45, name=전라북도, parentCode=null, parentName=null, gridX=null, gridY=null
code=46, name=전라남도, parentCode=null, parentName=null, gridX=null, gridY=null
code=47, name=경상북도, parentCode=null, parentName=null, gridX=null, gridY=null
code=48, name=경상남도, parentCode=null, parentName=null, gridX=null, gridY=null
code=50, name=제주특별자치도, parentCode=null, parentName=null, gridX=null, gridY=null
code=11110, name=종로구, parentCode=11, parentName=서울특별시, gridX=null, gridY=null
code=11140, name=중구, parentCode=11, parentName=서울특별시, gridX=null, gridY=null
code=11170, name=용산구, parentCode=11, parentName=서울특별시, gridX=null, gridY=null
code=11200, name=성동구, parentCode=11, parentName=서울특별시, gridX=null, gridY=null
code=11215, name=광진구, parentCode=11, parentName=서울특별시, gridX=null, gridY=null
code=11230, name=동대문구, parentCode=11, parentName=서울특별시, gridX=null, gridY=null
code=11260, name=중랑구, parentCode=11, parentName=서울특별시, gridX=null, gridY=null
code=11290, name=성북구, parentCode=11, parentName=서울특별시, gridX=null, gridY=null
code=11305, name=강북구, parentCode=11, parentName=서울특별시, gridX=null, gridY=null
code=11320, name=도봉구, parentCode=11, parentName=서울특별시, gridX=null, gridY=null
code=11350, name=노원구, parentCode=11, parentName=서울특별시, gridX=null, gridY=null
code=11380, name=은평구, parentCode=11, parentName=서울특별시, gridX=null, gridY=null
code=11410, name=서대문구, parentCode=11, parentName=서울특별시, gridX=null, gridY=null
code=11440, name=마포구, parentCode=11, parentName=서울특별시, gridX=null, gridY=null
code=11470, name=양천구, parentCode=11, parentName=서울특별시, gridX=null, gridY=null
code=11500, name=강서구, parentCode=11, parentName=서울특별시, gridX=null, gridY=null
code=11530, name=구로구, parentCode=11, parentName=서울특별시, gridX=null, gridY=null
code=11545, name=금천구, parentCode=11, parentName=서울특별시, gridX=null, gridY=null
code=11560, name=영등포구, parentCode=11, parentName=서울특별시, gridX=null, gridY=null
code=11590, name=동작구, parentCode=11, parentName=서울특별시, gridX=null, gridY=null
code=11620, name=관악구, parentCode=11, parentName=서울특별시, gridX=null, gridY=null
code=11650, name=서초구, parentCode=11, parentName=서울특별시, gridX=null, gridY=null
code=11680, name=강남구, parentCode=11, parentName=서울특별시, gridX=null, gridY=null
code=11710, name=송파구, parentCode=11, parentName=서울특별시, gridX=null, gridY=null
code=11740, name=강동구, parentCode=11, parentName=서울특별시, gridX=null, gridY=null
code=26110, name=중구, parentCode=26, parentName=부산광역시, gridX=null, gridY=null
code=26140, name=서구, parentCode=26, parentName=부산광역시, gridX=null, gridY=null
code=26170, name=동구, parentCode=26, parentName=부산광역시, gridX=null, gridY=null
code=26200, name=영도구, parentCode=26, parentName=부산광역시, gridX=null, gridY=null
code=26230, name=부산진구, parentCode=26, parentName=부산광역시, gridX=null, gridY=null
code=26260, name=동래구, parentCode=26, parentName=부산광역시, gridX=null, gridY=null
code=26290, name=남구, parentCode=26, parentName=부산광역시, gridX=null, gridY=null
code=26320, name=북구, parentCode=26, parentName=부산광역시, gridX=null, gridY=null
code=26350, name=해운대구, parentCode=26, parentName=부산광역시, gridX=null, gridY=null
code=26380, name=사하구, parentCode=26, parentName=부산광역시, gridX=null, gridY=null
code=26410, name=금정구, parentCode=26, parentName=부산광역시, gridX=null, gridY=null
code=26440, name=강서구, parentCode=26, parentName=부산광역시, gridX=null, gridY=null
code=26470, name=연제구, parentCode=26, parentName=부산광역시, gridX=null, gridY=null
code=26500, name=수영구, parentCode=26, parentName=부산광역시, gridX=null, gridY=null
code=26530, name=사상구, parentCode=26, parentName=부산광역시, gridX=null, gridY=null
code=26710, name=기장군, parentCode=26, parentName=부산광역시, gridX=null, gridY=null
code=27110, name=중구, parentCode=27, parentName=대구광역시, gridX=null, gridY=null
code=27140, name=동구, parentCode=27, parentName=대구광역시, gridX=null, gridY=null
code=27170, name=서구, parentCode=27, parentName=대구광역시, gridX=null, gridY=null
code=27200, name=남구, parentCode=27, parentName=대구광역시, gridX=null, gridY=null
code=27230, name=북구, parentCode=27, parentName=대구광역시, gridX=null, gridY=null
code=27260, name=수성구, parentCode=27, parentName=대구광역시, gridX=null, gridY=null
code=27290, name=달서구, parentCode=27, parentName=대구광역시, gridX=null, gridY=null
code=27710, name=달성군, parentCode=27, parentName=대구광역시, gridX=null, gridY=null
code=28110, name=중구, parentCode=28, parentName=인천광역시, gridX=null, gridY=null
code=28140, name=동구, parentCode=28, parentName=인천광역시, gridX=null, gridY=null
code=28170, name=남구, parentCode=28, parentName=인천광역시, gridX=null, gridY=null
code=28185, name=연수구, parentCode=28, parentName=인천광역시, gridX=null, gridY=null
code=28200, name=남동구, parentCode=28, parentName=인천광역시, gridX=null, gridY=null
code=28237, name=부평구, parentCode=28, parentName=인천광역시, gridX=null, gridY=null
code=28245, name=계양구, parentCode=28, parentName=인천광역시, gridX=null, gridY=null
code=28260, name=서구, parentCode=28, parentName=인천광역시, gridX=null, gridY=null
code=28710, name=강화군, parentCode=28, parentName=인천광역시, gridX=null, gridY=null
code=28720, name=옹진군, parentCode=28, parentName=인천광역시, gridX=null, gridY=null
code=29110, name=동구, parentCode=29, parentName=광주광역시, gridX=null, gridY=null
code=29140, name=서구, parentCode=29, parentName=광주광역시, gridX=null, gridY=null
code=29155, name=남구, parentCode=29, parentName=광주광역시, gridX=null, gridY=null
code=29170, name=북구, parentCode=29, parentName=광주광역시, gridX=null, gridY=null
code=29200, name=광산구, parentCode=29, parentName=광주광역시, gridX=null, gridY=null
code=30110, name=동구, parentCode=30, parentName=대전광역시, gridX=null, gridY=null
code=30140, name=중구, parentCode=30, parentName=대전광역시, gridX=null, gridY=null
code=30170, name=서구, parentCode=30, parentName=대전광역시, gridX=null, gridY=null
code=30200, name=유성구, parentCode=30, parentName=대전광역시, gridX=null, gridY=null
code=30230, name=대덕구, parentCode=30, parentName=대전광역시, gridX=null, gridY=null
code=31110, name=중구, parentCode=31, parentName=울산광역시, gridX=null, gridY=null
code=31140, name=남구, parentCode=31, parentName=울산광역시, gridX=null, gridY=null
code=31170, name=동구, parentCode=31, parentName=울산광역시, gridX=null, gridY=null
code=31200, name=북구, parentCode=31, parentName=울산광역시, gridX=null, gridY=null
code=31710, name=울주군, parentCode=31, parentName=울산광역시, gridX=null, gridY=null
code=41111, name=수원시장안구, parentCode=41, parentName=경기도, gridX=null, gridY=null
code=41113, name=수원시권선구, parentCode=41, parentName=경기도, gridX=null, gridY=null
code=41115, name=수원시팔달구, parentCode=41, parentName=경기도, gridX=null, gridY=null
code=41117, name=수원시영통구, parentCode=41, parentName=경기도, gridX=null, gridY=null
code=41131, name=성남시수정구, parentCode=41, parentName=경기도, gridX=null, gridY=null
code=41133, name=성남시중원구, parentCode=41, parentName=경기도, gridX=null, gridY=null
code=41135, name=성남시분당구, parentCode=41, parentName=경기도, gridX=null, gridY=null
code=41150, name=의정부시, parentCode=41, parentName=경기도, gridX=null, gridY=null
code=41171, name=안양시만안구, parentCode=41, parentName=경기도, gridX=null, gridY=null
code=41173, name=안양시동안구, parentCode=41, parentName=경기도, gridX=null, gridY=null
code=41195, name=부천시원미구, parentCode=41, parentName=경기도, gridX=null, gridY=null
code=41197, name=부천시소사구, parentCode=41, parentName=경기도, gridX=null, gridY=null
code=41199, name=부천시오정구, parentCode=41, parentName=경기도, gridX=null, gridY=null
code=41210, name=광명시, parentCode=41, parentName=경기도, gridX=null, gridY=null
code=41220, name=평택시, parentCode=41, parentName=경기도, gridX=null, gridY=null
code=41250, name=동두천시, parentCode=41, parentName=경기도, gridX=null, gridY=null
code=41271, name=안산시상록구, parentCode=41, parentName=경기도, gridX=null, gridY=null
code=41273, name=안산시단원구, parentCode=41, parentName=경기도, gridX=null, gridY=null
code=41281, name=고양시덕양구, parentCode=41, parentName=경기도, gridX=null, gridY=null
code=41285, name=고양시일산동구, parentCode=41, parentName=경기도, gridX=null, gridY=null
code=41287, name=고양시일산서구, parentCode=41, parentName=경기도, gridX=null, gridY=null
code=41290, name=과천시, parentCode=41, parentName=경기도, gridX=null, gridY=null
code=41310, name=구리시, parentCode=41, parentName=경기도, gridX=null, gridY=null
code=41360, name=남양주시, parentCode=41, parentName=경기도, gridX=null, gridY=null
code=41370, name=오산시, parentCode=41, parentName=경기도, gridX=null, gridY=null
code=41390, name=시흥시, parentCode=41, parentName=경기도, gridX=null, gridY=null
